1716729831573,46.68,455510144,117377814528
1716729836584,48.95,367556344,117377740800
1716729841585,50.47,438236680,117377720320
1716729846585,51.24,428899568,117377712128
1716729851586,51.94,406416216,117377703936
1716729856586,52.58,486992328,117377691648
1716729861587,53.1,439392464,117377683456
1716729866587,53.89,424602744,117377675264
1716729871588,54.38,405299640,117377667072
1716729876588,54.67,480553936,117377654784
1716729881589,55.42,438747544,117377646592
1716729886589,55.95,423850912,117377638400
1716729891590,56.19,416179352,117377929216
