1716759107647,45.32,514208592,116724637696
1716759112682,47.78,496623176,116724568064
1716759117683,48.92,495666584,116724543488
1716759122683,49.81,474122408,116724535296
1716759127684,50.7,503442304,116724523008
1716759132684,51.29,483638688,116724506624
1716759137685,51.99,465693568,116724498432
1716759142685,52.79,445084728,116724486144
1716759147686,53.45,426579088,116724473856
1716759152686,54.05,404210256,116724465664
1716759157686,54.61,384760920,116724453376
1716759162687,55.12,364480000,116724441088
1716759167687,55.35,354914832,116724387840
