1716751447895,48.41,506883784,117761806336
1716751452935,49.98,503825344,117761744896
1716751457939,51.9,496812448,117761703936
1716751462947,53.11,492951368,117761654784
1716751467952,54.15,489073328,117761609728
1716751472959,55.02,482332136,117761556480
1716751477965,55.81,477882352,117761511424
1716751482977,56.55,473365992,117761470464
1716751488016,57.39,470814792,117761437696
1716751493038,57.68,465949064,117761404928
1716751498048,58.42,481506688,117761372160
1716751503064,58.63,480656576,117761343488
