1716786007820,48.79,510843720,116448722944
1716786012915,49.45,499950864,116448661504
1716786017923,50.86,497401904,116448624640
1716786022927,51.99,508629768,116448579584
1716786027966,52.55,504671080,116448563200
1716786032971,53.55,500909288,116448546816
1716786037972,54.14,498616304,116448538624
1716786042991,54.77,496785376,116448530432
1716786048019,55.59,494754376,116448522240
1716786053020,56.03,491799600,116448509952
1716786058038,56.5,489737216,116448501760
1716786063062,56.79,487909616,116448493568
1716786068064,57.04,482608032,116449374208
