1716734727177,46.33,502460560,118165630976
1716734732282,48.23,504354288,118165569536
1716734737288,48.69,500614200,118165528576
1716734742321,50.16,496029016,118165499904
1716734747325,50.86,493755480,118165491712
1716734752327,51.6,488709136,118165479424
1716734757337,52.03,485845264,118165467136
1716734762364,52.75,482815320,118165463040
1716734767376,53.09,479526784,118165454848
1716734772399,53.72,475667080,118165446656
1716734777400,54.07,489650608,118165438464
1716734782402,54.86,466185320,118165405696
