day,time_period,bandwidth,resources,smart_lighting,security,visitor_guiding,maintenance,metaverse
monday,morning,20,5000,34.089385474860336,69.57428571428571,5486.427350427351,255.09871244635193,35.59425493716338
monday,morning,20,10000,34.10227272727273,46.17616580310881,232.83098591549296,149.83985765124555,38.06715063520871
monday,morning,20,15000,35.8343023255814,32.37595907928389,91.0,48.564189189189186,37.42649727767695
monday,morning,20,20000,31.926900584795323,39.02835051546392,82.15652173913044,41.419795221843,33.51305970149254
monday,morning,20,25000,29.950581395348838,30.598984771573605,80.67027027027027,44.16206896551724,33.45355191256831
monday,morning,20,30000,32.8,30.831658291457288,86.18508287292818,43.22260273972603,33.376363636363635
monday,morning,20,35000,39.7514450867052,33.16368286445013,92.69121813031161,49.16949152542373,38.9797794117647
monday,morning,20,40000,33.11046511627907,33.343511450381676,85.88736263736264,46.7098976109215,33.84403669724771
monday,morning,20,45000,31.28857142857143,33.065989847715734,80.52173913043478,37.84300341296928,31.605405405405406
monday,morning,20,50000,48.909604519774014,33.54385964912281,82.24645892351275,45.203448275862065,43.02193784277879
monday,morning,40,5000,21.449720670391063,49.4756446991404,8614.223255813953,343.87772925764193,21.709156193895872
monday,morning,40,10000,24.892045454545453,23.757105943152453,179.38328530259366,74.23703703703704,24.731046931407942
monday,morning,40,15000,21.482456140350877,23.468030690537084,75.7874659400545,41.70242214532872,22.11743119266055
monday,morning,40,20000,24.225,27.70854271356784,73.42222222222222,30.083892617449663,22.96099290780142
monday,morning,40,25000,33.910919540229884,25.03886010362694,71.4429347826087,36.04498269896194,30.86413043478261
monday,morning,40,30000,22.81791907514451,22.369620253164555,84.22371967654986,37.59722222222222,23.37251356238698
monday,morning,40,35000,26.46,21.278061224489797,68.50555555555556,32.56896551724138,25.534671532846716
monday,morning,40,40000,26.28654970760234,27.371134020618555,71.29155313351498,34.05902777777778,25.875
monday,morning,40,45000,24.379310344827587,23.676844783715012,91.47727272727273,33.39115646258504,24.54862385321101
monday,morning,40,50000,23.64450867052023,23.269035532994923,65.79585798816568,28.8135593220339,22.78544776119403
monday,morning,60,5000,25.525280898876403,58.700581395348834,9026.552147239263,272.78508771929825,23.92293906810036
monday,morning,60,10000,26.405714285714286,24.867875647668395,173.43880597014925,95.76785714285714,24.854243542435423
monday,morning,60,15000,19.803370786516854,19.096774193548388,79.1841359773371,32.85858585858586,19.76534296028881
monday,morning,60,20000,20.227011494252874,19.073417721518986,65.90196078431373,38.13793103448276,20.62018348623853
monday,morning,60,25000,17.80057803468208,18.494897959183675,67.26373626373626,29.44982698961938,18.07846715328467
monday,morning,60,30000,20.552023121387283,20.20671834625323,74.59428571428572,26.106896551724137,21.022140221402214
monday,morning,60,35000,19.35195530726257,18.5785536159601,70.4060773480663,25.938983050847458,19.410714285714285
monday,morning,60,40000,19.26,21.124675324675323,69.66573816155989,28.027210884353742,18.89855072463768
monday,morning,60,45000,21.497109826589597,17.939086294416242,66.02197802197803,28.15807560137457,20.28937728937729
monday,morning,60,50000,17.479768786127167,22.26972010178117,78.94540229885058,28.083333333333332,19.053703703703704
monday,morning,80,5000,15.129213483146067,42.377906976744185,7658.263157894737,591.0704845814978,16.23508137432188
monday,morning,80,10000,19.997109826589597,21.649076517150394,114.75714285714285,51.79272727272727,18.742230347349178
monday,morning,80,15000,15.566473988439306,17.834605597964376,80.3213296398892,44.68989547038328,20.031307550644566
monday,morning,80,20000,17.437142857142856,18.974358974358974,70.30285714285715,23.59722222222222,18.001834862385323
monday,morning,80,25000,21.142441860465116,17.853470437017997,70.73654390934844,30.644827586206898,19.726432532347506
monday,morning,80,30000,20.84393063583815,18.685421994884912,69.0931506849315,25.806122448979593,19.27504553734062
monday,morning,80,35000,17.968926553672315,19.580976863753214,74.2471590909091,21.639455782312925,18.083484573502723
monday,morning,80,40000,16.460227272727273,18.706632653061224,72.52407932011332,25.232876712328768,17.145719489981786
monday,morning,80,45000,16.268571428571427,21.284263959390863,67.17647058823529,25.051546391752577,16.70018281535649
monday,morning,80,50000,15.048295454545455,21.46969696969697,70.82561307901908,26.80068728522337,16.846846846846848
monday,morning,100,5000,16.277142857142856,47.88034188034188,9171.18888888889,491.73160173160176,16.028776978417266
monday,morning,100,10000,16.214689265536723,24.109375,193.72033898305085,59.0863309352518,17.68840579710145
monday,morning,100,15000,17.54310344827586,19.938144329896907,68.27906976744185,29.213058419243985,17.53974121996303
monday,morning,100,20000,16.921348314606742,15.805555555555555,70.8970189701897,28.409395973154364,16.9538188277087
monday,morning,100,25000,15.388571428571428,17.00506329113924,60.46648044692738,23.16949152542373,15.88929219600726
monday,morning,100,30000,18.069767441860463,17.404092071611252,69.37771739130434,25.00343642611684,18.239488117001827
monday,morning,100,35000,15.55084745762712,19.583333333333332,72.83695652173913,24.627586206896552,15.519713261648745
monday,morning,100,40000,17.610795454545453,16.90274314214464,66.56368563685636,24.06711409395973,16.793536804308797
monday,morning,100,45000,48.36094674556213,30.074866310160427,137.50294117647059,47.6013986013986,43.28195488721804
monday,morning,100,50000,31.38855421686747,29.129380053908356,171.1039755351682,78.47349823321555,36.62596899224806
monday,morning,150,5000,28.288235294117648,89.23598820058997,7977.179012345679,492.06060606060606,26.845283018867924
monday,morning,150,10000,23.83823529411765,36.20844327176781,252.05917159763314,88.20422535211267,25.4859287054409
monday,morning,150,15000,25.757396449704142,35.920212765957444,168.1510574018127,47.316901408450704,25.38095238095238
monday,morning,150,20000,22.355029585798817,28.641160949868073,140.3168604651163,47.03859649122807,22.69433962264151
monday,morning,150,25000,29.340236686390533,29.741424802110817,145.19298245614036,37.4639175257732,27.310861423220974
monday,morning,150,30000,20.914110429447852,33.10958904109589,121.47953216374269,45.32258064516129,22.24470134874759
monday,morning,150,35000,26.198830409356724,25.589147286821706,137.0952380952381,47.53287197231834,24.68946395563771
monday,morning,150,40000,25.94674556213018,28.227154046997388,139.4022988505747,42.53146853146853,24.92870544090056
monday,morning,150,45000,16.36705202312139,18.337662337662337,81.26857142857143,29.831615120274915,16.974217311233886
monday,morning,150,50000,21.515243902439025,26.15277777777778,124.0701219512195,42.35125448028674,22.685436893203885
monday,morning,200,5000,46.70245398773006,69.83532934131736,7789.039106145251,306.27848101265823,40.44117647058823
monday,morning,200,10000,25.571428571428573,25.66573816155989,147.85060975609755,63.167272727272724,24.466269841269842
monday,morning,200,15000,26.608024691358025,39.78272980501393,140.13253012048193,61.857142857142854,26.450787401574804
monday,morning,200,20000,29.108823529411765,29.282666666666668,115.25882352941177,41.13523131672598,27.49335863377609
monday,morning,200,25000,19.57941176470588,32.22251308900523,148.71296296296296,48.66083916083916,21.60536398467433
monday,morning,200,30000,29.376470588235293,28.46174142480211,131.89518413597733,44.60992907801418,27.08955223880597
monday,morning,200,35000,21.584795321637426,22.670157068062828,129.9067055393586,37.44178082191781,21.760223048327138
monday,morning,200,40000,29.439393939393938,29.6510989010989,141.56231003039514,47.637010676156585,28.42578125
monday,morning,200,45000,25.29746835443038,29.126050420168067,120.32132132132132,50.08424908424909,29.213147410358566
monday,morning,200,50000,23.347560975609756,31.79245283018868,137.34513274336283,48.15107913669065,24.275193798449614
monday,morning,250,5000,20.381656804733726,100.375,12256.135,385.93392070484583,22.195488721804512
monday,morning,250,10000,25.82121212121212,24.176781002638524,203.42105263157896,75.31095406360424,26.940038684719536
monday,morning,250,15000,22.82941176470588,31.888297872340427,162.16806722689077,48.24199288256228,23.02420856610801
monday,morning,250,20000,23.77906976744186,32.242105263157896,135.33428571428573,53.578947368421055,23.653061224489797
monday,morning,250,25000,30.623456790123456,23.102981029810298,128.83236994219652,49.10283687943262,30.152804642166345
monday,morning,250,30000,24.934131736526947,25.872,114.316091954023,46.25,25.93168880455408
monday,morning,250,35000,21.77710843373494,21.91304347826087,145.42857142857142,42.80357142857143,21.11685823754789
monday,morning,250,40000,22.812121212121212,35.84022038567493,129.0939393939394,52.09252669039146,23.588007736943908
monday,morning,250,45000,27.29320987654321,29.155313351498638,135.5139318885449,53.072916666666664,29.794520547945204
monday,morning,250,50000,29.76086956521739,26.235616438356164,135.80712166172106,44.78214285714286,27.498039215686273
monday,morning,300,5000,28.419642857142858,70.98563218390805,7860.629834254144,205.87336244541484,26.268939393939394
monday,morning,300,10000,27.259036144578314,40.68493150684932,154.19825072886297,57.10545454545454,25.293893129770993
monday,morning,300,15000,29.079268292682926,31.463611859838274,172.66091954022988,51.118705035971225,27.0
monday,morning,300,20000,35.23795180722892,29.361643835616437,145.6846846846847,55.25795053003534,30.760076775431862
monday,morning,300,25000,33.51875,29.50980392156863,166.5030864197531,76.14652014652015,36.113545816733065
monday,morning,300,30000,24.108024691358025,30.828729281767956,157.83742331288343,69.20141342756183,25.115686274509805
monday,morning,300,35000,24.645061728395063,24.462809917355372,154.12727272727273,47.21223021582734,24.425742574257427
monday,morning,300,40000,26.88719512195122,30.741847826086957,123.29080118694363,44.280141843971634,28.06963249516441
monday,morning,300,45000,25.37730061349693,37.142857142857146,130.1743119266055,55.8339222614841,35.38671875
monday,morning,300,50000,24.280864197530864,37.56545961002786,192.05900621118013,60.297491039426525,29.329388560157792
monday,morning,350,5000,32.651234567901234,84.88856304985337,7114.025,340.109243697479,30.75390625
monday,morning,350,10000,25.599358974358974,30.433526011560694,194.3679245283019,57.553113553113555,24.812244897959182
monday,morning,350,15000,26.221875,42.45821325648415,141.95987654320987,43.596363636363634,24.113095238095237
monday,morning,350,20000,30.00632911392405,34.794444444444444,128.2874251497006,46.97826086956522,29.17693836978131
monday,morning,350,25000,42.625,24.752777777777776,119.98769230769231,45.45724907063197,37.716904276985744
monday,morning,350,30000,19.748427672955973,26.867768595041323,116.61094224924013,36.726618705035975,19.630738522954093
monday,morning,350,35000,24.452830188679247,28.379603399433428,138.65714285714284,41.70220588235294,29.270707070707072
monday,morning,350,40000,31.490384615384617,25.724928366762178,171.16,50.58364312267658,28.979633401221996
monday,morning,350,45000,31.675757575757576,25.829268292682926,129.87048192771084,46.735915492957744,31.777131782945737
monday,morning,350,50000,24.4937106918239,39.17039106145251,160.31498470948011,43.68345323741007,24.84722222222222
monday,morning,400,5000,22.07758620689655,68.92941176470588,10559.557522123894,382.1674008810573,24.016363636363636
monday,morning,400,10000,52.5030487804878,39.75,139.0850439882698,70.83453237410072,49.56479690522244
monday,morning,400,15000,25.46969696969697,31.421487603305785,144.30383480825958,45.57347670250896,25.896153846153847
monday,morning,400,20000,21.82634730538922,22.479674796747968,135.75418994413408,41.767857142857146,22.459510357815443
monday,morning,400,25000,28.52848101265823,27.071216617210684,148.69306930693068,41.38931297709924,28.723711340206187
monday,morning,400,30000,20.309815950920246,27.221606648199447,126.25077399380805,40.06115107913669,22.474409448818896
monday,morning,400,35000,27.203225806451613,26.970760233918128,154.09748427672955,43.66793893129771,27.630390143737166
monday,morning,400,40000,22.70059880239521,26.856763925729442,145.9915254237288,39.47017543859649,24.848030018761726
monday,morning,400,45000,20.63529411764706,26.749326145552562,131.2471264367816,30.526315789473685,20.18097014925373
monday,morning,400,50000,16.755681818181817,16.36868686868687,72.10335195530726,23.88013698630137,16.625454545454545
monday,morning,450,5000,13.148876404494382,33.46938775510204,8413.395604395604,269.8421052631579,14.44741532976827
monday,morning,450,10000,16.01412429378531,35.087403598971726,322.8238805970149,210.66176470588235,17.60405156537753
monday,morning,450,15000,16.324858757062145,17.050505050505052,70.37704918032787,29.443298969072163,16.0754039497307
monday,morning,450,20000,14.436046511627907,13.83547557840617,71.82288828337875,23.98263888888889,14.476190476190476
monday,morning,450,25000,11.98857142857143,13.96875,61.90229885057471,21.862068965517242,12.864468864468865
monday,morning,450,30000,16.49421965317919,14.281653746770026,67.12605042016807,19.293515358361773,16.291970802919707
monday,morning,450,35000,15.617816091954023,16.54871794871795,77.36338797814207,25.97594501718213,16.605072463768117
monday,morning,450,40000,23.979768786127167,14.615384615384615,70.54189944134079,26.463667820069205,23.009174311926607
monday,morning,450,45000,16.60857142857143,16.245524296675192,65.18378378378378,22.60553633217993,15.052346570397113
monday,morning,450,50000,13.048850574712644,13.556410256410256,69.22535211267606,25.378006872852232,14.22992700729927
monday,morning,500,5000,23.875,61.742209631728045,11178.959595959595,494.3744680851064,20.012867647058822
monday,morning,500,10000,14.594285714285714,23.13953488372093,213.8498583569405,116.9090909090909,14.648897058823529
monday,morning,500,15000,16.748571428571427,14.635443037974683,62.4791086350975,25.920689655172414,15.974499089253188
monday,morning,500,20000,14.10919540229885,17.18158567774936,64.53072625698324,23.368965517241378,16.095412844036698
monday,morning,500,25000,16.245664739884393,18.648717948717948,64.87637362637362,27.017241379310345,16.855839416058394
monday,morning,500,30000,20.99122807017544,16.627848101265823,63.637119113573405,23.444444444444443,18.826568265682656
monday,morning,500,35000,18.54237288135593,20.931297709923665,57.645714285714284,24.860627177700348,16.660550458715598
monday,morning,500,40000,14.607558139534884,20.464102564102564,66.1938202247191,22.29209621993127,13.922651933701658
monday,morning,500,45000,13.704022988505747,13.878552971576227,56.08355795148248,27.8,13.882882882882884
