1716760477647,49.76,514128280,117693419520
1716760482670,51.78,508890056,117693341696
1716760487670,54.6,477024112,117693288448
1716760492671,56.31,504128664,117693255680
1716760497671,57.65,478314256,117693231104
1716760502671,58.64,457342736,117693210624
1716760507672,59.15,430633416,117693190144
1716760512672,59.46,416018960,117693181952
1716760517673,59.98,386039568,117693149184
1716760522673,60.54,360873744,117693120512
1716760527674,60.98,335746080,117693095936
1716760532674,61.38,317013488,117693087744
1716760537675,61.59,302892000,117693366272
